Time (yr BP),Antarctic temperature,Antarctic temperature uncertainty
399000,-0.427438157,1.578123489
400000,0.012191905,1.599244366
401000,0.518012567,1.614548392
402000,1.034700568,1.603321665
403000,1.485071026,1.571301066
404000,1.823483744,1.540309365
405000,2.03980047,1.520635665
406000,2.117871789,1.510844197
407000,2.095737736,1.508162498
408000,2.050483661,1.507372657
409000,1.980312513,1.515147267
410000,1.788070673,1.545867629
411000,1.422025448,1.581572216
412000,0.995870067,1.573821181
413000,0.677954378,1.537411895
414000,0.510581443,1.516704213
415000,0.457922218,1.510788603
416000,0.483423231,1.51235625
417000,0.475106232,1.522823052
418000,0.305567625,1.54143093
419000,0.027588584,1.545146448
420000,-0.276471795,1.562414244
421000,-0.677659496,1.603439475
422000,-1.123771619,1.605794975
423000,-1.350210941,1.619771725
424000,-1.216279998,1.703447608
425000,-1.162552226,1.786814249
426000,-1.765707573,1.972235556
427000,-2.948259273,2.165542126
428000,-4.362512257,2.197083316
429000,-5.696975156,2.043787742
430000,-6.76037999,1.833658069
431000,-7.458760793,1.641452308
432000,-7.78214682,1.533009622
433000,-7.874372522,1.506549081
434000,-7.89059258,1.509991674
435000,-7.958259089,1.534640662
436000,-8.185512058,1.566547749
437000,-8.432007094,1.551205108
438000,-8.470024346,1.526429253
439000,-8.374141261,1.515363187
440000,-8.254361822,1.517218658
441000,-8.040031939,1.542664219
442000,-7.68342424,1.577875443
443000,-7.252468278,1.586745071
444000,-6.895018315,1.553862585
445000,-6.661578822,1.541948712
446000,-6.390420749,1.585399174
447000,-6.07371842,1.6035554
448000,-6.021430437,1.584885003
449000,-6.252367786,1.563413326
450000,-6.443552983,1.538775293
451000,-6.443193521,1.543134083
452000,-6.336529792,1.553459829
453000,-6.190788678,1.563668958
454000,-6.094682028,1.57589623
455000,-6.33887396,1.645806998
456000,-6.931911495,1.694541405
457000,-7.495945936,1.613211353
458000,-7.751628062,1.529930543
459000,-7.724572272,1.517630133
460000,-7.512682356,1.541150118
461000,-7.179545024,1.566413144
462000,-6.878241,1.552860214
463000,-6.843942084,1.539758687
464000,-7.079229779,1.547504472
465000,-7.342576058,1.531168422
466000,-7.437964075,1.518190566
467000,-7.345496568,1.5512133
468000,-7.016985259,1.643535975
469000,-6.419684327,1.732797234
470000,-5.652738117,1.806006151
471000,-4.865892426,1.795847044
